# timestamp tx ty tz qx qy qz qw
1766983105.884888 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1766983105.984888 -0.010232 0.011075 0.010000 0.000000 0.000000 0.000000 1.000000
1766983106.184888 -0.040928 0.044299 0.019000 0.000000 0.000000 0.000000 1.000000
1766983106.284888 -0.051160 0.066449 0.026000 0.000000 0.000000 0.000000 1.000000
1766983106.484888 -0.102321 0.110748 0.054000 0.000000 0.000000 0.000000 1.000000
1766983106.584888 -0.122785 0.143973 0.059000 0.000000 0.000000 0.000000 1.000000
1766983106.684888 -0.153481 0.166122 0.068000 0.000000 0.000000 0.000000 1.000000
1766983106.784888 -0.184178 0.199347 0.078000 0.000000 0.000000 0.000000 1.000000
1766983106.884888 -0.214874 0.221496 0.088000 0.000000 0.000000 0.000000 1.000000
1766983106.984888 -0.255802 0.254721 0.094000 0.000000 0.000000 0.000000 1.000000
1766983107.184888 -0.327427 0.332244 0.118000 0.000000 0.000000 0.000000 1.000000
1766983107.284888 -0.358123 0.365469 0.124000 0.000000 0.000000 0.000000 1.000000
1766983107.384888 -0.399052 0.409768 0.146000 0.000000 0.000000 0.000000 1.000000
1766983107.584888 -0.460444 0.476217 0.217000 0.000000 0.000000 0.000000 1.000000
1766983107.684888 -0.480908 0.520516 0.284000 0.000000 0.000000 0.000000 1.000000
1766983107.784888 -0.511605 0.553740 0.376000 0.000000 0.000000 0.000000 1.000000
1766983107.884888 -0.542301 0.586965 0.509000 0.000000 0.000000 0.000000 1.000000
1766983107.984888 -0.562765 0.620189 0.659000 0.000000 0.000000 0.000000 1.000000
1766983108.184888 -0.593461 0.686638 1.068000 0.000000 0.000000 0.000000 1.000000
1766983108.284888 -0.603694 0.708788 1.310000 0.000000 0.000000 0.000000 1.000000
1766983108.384888 -0.613926 0.730938 1.569000 0.000000 0.000000 0.000000 1.000000
1766983108.484888 -0.613926 0.753087 1.837000 0.000000 0.000000 0.000000 1.000000
1766983108.584888 -0.613926 0.775237 2.118000 0.000000 0.000000 0.000000 1.000000
1766983108.784888 -0.603694 0.808461 2.700000 0.000000 0.000000 0.000000 1.000000
1766983108.884888 -0.603694 0.830611 3.003000 0.000000 0.000000 0.000000 1.000000
1766983108.984888 -0.593462 0.841686 3.307000 0.000000 0.000000 0.000000 1.000000
1766983109.184888 -0.572998 0.863836 3.910000 0.000000 0.000000 0.000000 1.000000
1766983109.284888 -0.562765 0.874910 4.213000 0.000000 0.000000 0.000000 1.000000
1766983109.384888 -0.552533 0.874911 4.515000 0.000000 0.000000 0.000000 1.000000
1766983109.584888 -0.532069 0.874911 5.122000 0.000000 0.000000 0.000000 1.000000
1766983109.684888 -0.521837 0.885985 5.411000 0.000000 0.000000 0.000000 1.000000
1766983109.784888 -0.501373 0.874911 5.715000 0.000000 0.000000 0.000000 1.000000
1766983109.884888 -0.491141 0.874911 6.014000 0.000000 0.000000 0.000000 1.000000
1766983109.984888 -0.480909 0.863836 6.312000 0.000000 0.000000 0.000000 1.000000
1766983110.184888 -0.460445 0.841686 6.908000 0.000000 0.000000 0.000000 1.000000
1766983110.284888 -0.450213 0.830612 7.202000 0.000000 0.000000 0.000000 1.000000
1766983110.384888 -0.450213 0.819537 7.504000 0.000000 0.000000 0.000000 1.000000
1766983110.484888 -0.439981 0.797387 7.805000 0.000000 0.000000 0.000000 1.000000
1766983110.584888 -0.429748 0.786312 8.103000 0.000000 0.000000 0.000000 1.000000
1766983110.684888 -0.429748 0.764163 8.409000 0.000000 0.000000 0.000000 1.000000
1766983110.784888 -0.419516 0.753088 8.714000 0.000000 0.000000 0.000000 1.000000
1766983110.884888 -0.419516 0.730938 9.013000 0.000000 0.000000 0.000000 1.000000
1766983110.984888 -0.419516 0.719864 9.311000 0.000000 0.000000 0.000000 1.000000
1766983111.184888 -0.419516 0.686639 9.913000 0.000000 0.000000 0.000000 1.000000
1766983111.384888 -0.419516 0.642340 10.514000 0.000000 0.000000 0.000000 1.000000
1766983111.484888 -0.419516 0.631265 10.812000 0.000000 0.000000 0.000000 1.000000
1766983111.584888 -0.429749 0.620190 11.113000 0.000000 0.000000 0.000000 1.000000
1766983111.784888 -0.429749 0.586966 11.708000 0.000000 0.000000 0.000000 1.000000
1766983111.884888 -0.439981 0.586966 12.009000 0.000000 0.000000 0.000000 1.000000
1766983111.984888 -0.439981 0.564816 12.316000 0.000000 0.000000 0.000000 1.000000
1766983112.184888 -0.460445 0.553742 12.926000 0.000000 0.000000 0.000000 1.000000
1766983112.384888 -0.470677 0.542667 13.516000 0.000000 0.000000 0.000000 1.000000
1766983112.584888 -0.480909 0.531592 14.122000 0.000000 0.000000 0.000000 1.000000
1766983112.684888 -0.491142 0.531592 14.423000 0.000000 0.000000 0.000000 1.000000
1766983112.784888 -0.491142 0.531592 14.725000 0.000000 0.000000 0.000000 1.000000
1766983112.884888 -0.501374 0.531592 15.019000 0.000000 0.000000 0.000000 1.000000
1766983112.984888 -0.501374 0.531592 15.317000 0.000000 0.000000 0.000000 1.000000
1766983113.184888 -0.511606 0.531592 15.914000 0.000000 0.000000 0.000000 1.000000
1766983113.384888 -0.521838 0.542667 16.500000 0.000000 0.000000 0.000000 1.000000
1766983113.584888 -0.532070 0.542667 17.092000 0.000000 0.000000 0.000000 1.000000
1766983113.684888 -0.532070 0.553742 17.387000 0.000000 0.000000 0.000000 1.000000
1766983113.784888 -0.532070 0.553742 17.687000 0.000000 0.000000 0.000000 1.000000
1766983113.884888 -0.542302 0.553742 17.984000 0.000000 0.000000 0.000000 1.000000
1766983114.084888 -0.532070 0.564817 18.573000 0.000000 0.000000 0.000000 1.000000
1766983114.284888 -0.521838 0.575892 19.168000 0.000000 0.000000 0.000000 1.000000
1766983114.484888 -0.521838 0.586967 19.751000 0.000000 0.000000 0.000000 1.000000
1766983114.684888 -0.501374 0.598042 20.335000 0.000000 0.000000 0.000000 1.000000
1766983114.784888 -0.501374 0.598042 20.622000 0.000000 0.000000 0.000000 1.000000
1766983114.984888 -0.480910 0.609117 21.206000 0.000000 0.000000 0.000000 1.000000
1766983115.184888 -0.460446 0.609117 21.784000 0.000000 0.000000 0.000000 1.000000
1766983115.384888 -0.450214 0.609117 22.355000 0.000000 0.000000 0.000000 1.000000
1766983115.584888 -0.429749 0.598042 22.934000 0.000000 0.000000 0.000000 1.000000
1766983115.684888 -0.419517 0.598042 23.220000 0.000000 0.000000 0.000000 1.000000
1766983115.884888 -0.399053 0.586967 23.791000 0.000000 0.000000 0.000000 1.000000
1766983115.984888 -0.388821 0.575892 24.085000 0.000000 0.000000 0.000000 1.000000
1766983116.184888 -0.358125 0.564817 24.661000 0.000000 0.000000 0.000000 1.000000
1766983116.284888 -0.347892 0.553743 24.947000 0.000000 0.000000 0.000000 1.000000
1766983116.484888 -0.327428 0.542668 25.523000 0.000000 0.000000 0.000000 1.000000
1766983116.684888 -0.296732 0.520518 26.100000 0.000000 0.000000 0.000000 1.000000
1766983116.884888 -0.276268 0.509443 26.673000 0.000000 0.000000 0.000000 1.000000
1766983117.084888 -0.255803 0.498369 27.241000 0.000000 0.000000 0.000000 1.000000
1766983117.284888 -0.235339 0.487294 27.821000 0.000000 0.000000 0.000000 1.000000
1766983117.384888 -0.225107 0.476219 28.109000 0.000000 0.000000 0.000000 1.000000
1766983117.484888 -0.225107 0.476219 28.401000 0.000000 0.000000 0.000000 1.000000
1766983117.684888 -0.204643 0.465144 28.983000 0.000000 0.000000 0.000000 1.000000
1766983117.784888 -0.204643 0.465144 29.280000 0.000000 0.000000 0.000000 1.000000
1766983117.884888 -0.194411 0.454069 29.564000 0.000000 0.000000 0.000000 1.000000
1766983117.984888 -0.194411 0.454069 29.853000 0.000000 0.000000 0.000000 1.000000
1766983118.184888 -0.184179 0.454069 30.428000 0.000000 0.000000 0.000000 1.000000
1766983118.284888 -0.184179 0.442994 30.718000 0.000000 0.000000 0.000000 1.000000
1766983118.484888 -0.184179 0.454069 31.296000 0.000000 0.000000 0.000000 1.000000
1766983118.684888 -0.184179 0.442995 31.878000 0.000000 0.000000 0.000000 1.000000
1766983118.884888 -0.184179 0.442995 32.463000 0.000000 0.000000 0.000000 1.000000
1766983119.084888 -0.194411 0.454070 33.041000 0.000000 0.000000 0.000000 1.000000
1766983119.284888 -0.194411 0.454070 33.612000 0.000000 0.000000 0.000000 1.000000
1766983119.484888 -0.204643 0.454070 34.196000 0.000000 0.000000 0.000000 1.000000
1766983119.684888 -0.214875 0.465145 34.782000 0.000000 0.000000 0.000000 1.000000
1766983119.884888 -0.235339 0.465145 35.370000 0.000000 0.000000 0.000000 1.000000
1766983119.984888 -0.235339 0.465145 35.667000 0.000000 0.000000 0.000000 1.000000
1766983120.184888 -0.235339 0.476220 36.262000 0.000000 0.000000 0.000000 1.000000
1766983120.284888 -0.235339 0.476220 36.558000 0.000000 0.000000 0.000000 1.000000
1766983120.384888 -0.235339 0.476220 36.853000 0.000000 0.000000 0.000000 1.000000
1766983120.484888 -0.225107 0.476220 37.152000 0.000000 0.000000 0.000000 1.000000
1766983120.684888 -0.204643 0.476220 37.729000 0.000000 0.000000 0.000000 1.000000
1766983120.884888 -0.194411 0.476220 38.322000 0.000000 0.000000 0.000000 1.000000
1766983121.084888 -0.173947 0.476220 38.923000 0.000000 0.000000 0.000000 1.000000
1766983121.284888 -0.163714 0.476220 39.511000 0.000000 0.000000 0.000000 1.000000
1766983121.484888 -0.153482 0.487295 40.096000 0.000000 0.000000 0.000000 1.000000
1766983121.684888 -0.143250 0.487295 40.688000 0.000000 0.000000 0.000000 1.000000
1766983121.884888 -0.143250 0.487295 41.294000 0.000000 0.000000 0.000000 1.000000
1766983121.984888 -0.143250 0.487295 41.588000 0.000000 0.000000 0.000000 1.000000
1766983122.184888 -0.143250 0.487295 42.187000 0.000000 0.000000 0.000000 1.000000
1766983122.384888 -0.153482 0.487295 42.787000 0.000000 0.000000 0.000000 1.000000
1766983122.584888 -0.163715 0.487295 43.397000 0.000000 0.000000 0.000000 1.000000
1766983122.784888 -0.163715 0.487295 43.997000 0.000000 0.000000 0.000000 1.000000
1766983122.884888 -0.163715 0.487295 44.300000 0.000000 0.000000 0.000000 1.000000
1766983122.984888 -0.163715 0.498370 44.608000 0.000000 0.000000 0.000000 1.000000
1766983123.184888 -0.173947 0.498370 45.215000 0.000000 0.000000 0.000000 1.000000
1766983123.284888 -0.173947 0.498370 45.520000 0.000000 0.000000 0.000000 1.000000
1766983123.484888 -0.184179 0.509445 46.130000 0.000000 0.000000 0.000000 1.000000
1766983123.684888 -0.184179 0.509445 46.742000 0.000000 0.000000 0.000000 1.000000
1766983123.784888 -0.184179 0.520520 47.049000 0.000000 0.000000 0.000000 1.000000
1766983123.984888 -0.194411 0.531595 47.665000 0.000000 0.000000 0.000000 1.000000
1766983124.184888 -0.204643 0.531595 48.278000 0.000000 0.000000 0.000000 1.000000
1766983124.384888 -0.204643 0.553745 48.898000 0.000000 0.000000 0.000000 1.000000
1766983124.484888 -0.214876 0.564820 49.202000 0.000000 0.000000 0.000000 1.000000
1766983124.584888 -0.214876 0.564820 49.509000 0.000000 0.000000 0.000000 1.000000
1766983124.684888 -0.214876 0.575895 49.816000 0.000000 0.000000 0.000000 1.000000
